Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
EK,07/13/2023 18:00:00,07/13/2023 19:00:00,1.65,1.65,417.68,1.65,771.672,0,0
GM,07/13/2023 19:00:00,07/13/2023 20:00:00,1.67,1.67,867.23,-1.2525,750.794425,0.8813888888888888,296.88888888888886
GM,07/13/2023 20:00:00,07/13/2023 21:00:00,1.68,1.68,981.45,-1.26,611.3729999999998,0.8866666666666665,298.66666666666663
GM,07/13/2023 21:00:00,07/13/2023 22:00:00,1.62,1.62,1034.18,-1.215,525.4712999999999,0.855,288
GM,07/13/2023 22:00:00,07/13/2023 23:00:00,1.61,1.61,972.53,-1.2075000000000002,596.6700249999999,0.8497222222222223,286.22222222222223
GM,07/13/2023 23:00:00,07/14/2023 00:00:00,1.7,1.7,882.9,-1.2750000000000001,744.3025,0.8972222222222221,302.22222222222223
GB,07/14/2023 00:00:00,07/14/2023 01:00:00,1.71,1.71,757.5,0,855,0.3762,73.52999999999999
GB,07/14/2023 01:00:00,07/14/2023 02:00:00,1.75,1.75,722.7,0,875,0.385,75.25
GB,07/14/2023 02:00:00,07/14/2023 03:00:00,1.66,1.6599999999999997,634.13,0,830,0.36519999999999997,71.38
GM,07/14/2023 02:00:00,07/14/2023 03:00:00,2.220446049250313E-16,2.220446049250313E-16,634.13,-1.665334536937735E-16,1.3864520642670184E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/14/2023 03:00:00,07/14/2023 04:00:00,1.64,1.6399999999999997,626.85,0,820,0.3608,70.52
GM,07/14/2023 03:00:00,07/14/2023 04:00:00,2.220446049250313E-16,2.220446049250313E-16,626.85,-1.665334536937735E-16,1.3985756996959252E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/14/2023 04:00:00,07/14/2023 05:00:00,1.7,1.6999999999999997,700.13,0,850,0.374,73.1
GM,07/14/2023 04:00:00,07/14/2023 05:00:00,2.220446049250313E-16,2.220446049250313E-16,700.13,-1.665334536937735E-16,1.276539984829128E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/14/2023 05:00:00,07/14/2023 06:00:00,1.78,1.7799999999999998,745.13,0,890,0.3916,76.53999999999999
GM,07/14/2023 05:00:00,07/14/2023 06:00:00,2.220446049250313E-16,2.220446049250313E-16,745.13,-1.665334536937735E-16,1.2015999306669299E-13,1.1719020815487764E-16,3.9474596431116676E-14
GM,07/14/2023 06:00:00,07/14/2023 07:00:00,1.8,1.8,855,-1.35,825.75,0.95,320
GM,07/14/2023 07:00:00,07/14/2023 08:00:00,1.78,1.78,855,-1.3350000000000002,816.575,0.9394444444444444,316.44444444444446
GB,07/14/2023 08:00:00,07/14/2023 09:00:00,1.82,1.8199999999999998,778.2,0,910,0.40040000000000003,78.25999999999999
GM,07/14/2023 08:00:00,07/14/2023 09:00:00,2.220446049250313E-16,2.220446049250313E-16,778.2,-1.665334536937735E-16,1.146527317530399E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/14/2023 09:00:00,07/14/2023 10:00:00,1.9,1.9,638.03,0,950,0.41800000000000004,81.7
GB,07/14/2023 10:00:00,07/14/2023 11:00:00,1.86,1.8599999999999999,597.83,0,930,0.4092,79.98
EK,07/14/2023 10:00:00,07/14/2023 11:00:00,2.220446049250313E-16,2.220446049250313E-16,597.83,2.220446049250313E-16,1.4384715640858304E-13,0,0
GB,07/14/2023 11:00:00,07/14/2023 12:00:00,1.88,1.88,572.93,0,940,0.4136,80.84
GB,07/14/2023 12:00:00,07/14/2023 13:00:00,1.83,1.83,553.5,0,915,0.4026,78.69
